Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,MSE_Train,MSE_Test_Interpolation,0.9457292630280604
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,AIC_Train,MSE_Test_Interpolation,0.9510329941412272
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,BIC_Train,MSE_Test_Interpolation,0.923527597903176
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,MDL_Train,MSE_Test_Interpolation,0.20481036077705828
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,PSM_Train,MSE_Test_Interpolation,0.448781991982732
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,MSE_Train,MSE_Test_Extrapolation,0.8502621029910576
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,AIC_Train,MSE_Test_Extrapolation,0.8484119642306505
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,BIC_Train,MSE_Test_Extrapolation,0.8285538082022817
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,MDL_Train,MSE_Test_Extrapolation,0.35356151711378353
584_fri_c4_500_25,1,MVP,w0.6_0.5_1.0,PSM_Train,MSE_Test_Extrapolation,0.3705827937095282
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,MSE_Train,MSE_Test_Interpolation,0.9726568005637773
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,AIC_Train,MSE_Test_Interpolation,0.9778717406624383
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,BIC_Train,MSE_Test_Interpolation,0.9689922480620154
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,MDL_Train,MSE_Test_Interpolation,-0.03255813953488372
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,PSM_Train,MSE_Test_Interpolation,-0.032135306553911204
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,MSE_Train,MSE_Test_Extrapolation,0.9037350246652571
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,AIC_Train,MSE_Test_Extrapolation,0.9124735729386891
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,BIC_Train,MSE_Test_Extrapolation,0.9103594080338266
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,MDL_Train,MSE_Test_Extrapolation,-0.03791402396053558
584_fri_c4_500_25,2,MVP,w0.6_0.5_1.0,PSM_Train,MSE_Test_Extrapolation,-0.15193798449612403
584_fri_c4_500_25,3,MVP,w0.6_0.5_1.0,MSE_Train,MSE_Test_Interpolation,0.9615384615384616
584_fri_c4_500_25,3,MVP,w0.6_0.5_1.0,AIC_Train,MSE_Test_Interpolation,0.9627594627594628
