Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,MSE_Train,MSE_Test_Interpolation,0.9457292630280604
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,AIC_Train,MSE_Test_Interpolation,0.9502929386370643
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,BIC_Train,MSE_Test_Interpolation,0.923527597903176
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,MDL_Train,MSE_Test_Interpolation,0.20234350909651555
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,PSM_Train,MSE_Test_Interpolation,0.4513721862473018
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,MSE_Train,MSE_Test_Extrapolation,0.8502621029910576
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,AIC_Train,MSE_Test_Extrapolation,0.8476719087264879
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,BIC_Train,MSE_Test_Extrapolation,0.8285538082022817
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,MDL_Train,MSE_Test_Extrapolation,0.35269811902559356
584_fri_c4_500_25,1,SVP,w0.6_0.0_0.6,PSM_Train,MSE_Test_Extrapolation,0.3723095898859081
584_fri_c4_500_25,2,SVP,w0.6_0.0_0.6,MSE_Train,MSE_Test_Interpolation,0.9726568005637773
584_fri_c4_500_25,2,SVP,w0.6_0.0_0.6,AIC_Train,MSE_Test_Interpolation,0.9778717406624383
584_fri_c4_500_25,2,SVP,w0.6_0.0_0.6,BIC_Train,MSE_Test_Interpolation,0.9689922480620154
584_fri_c4_500_25,2,SVP,w0.6_0.0_0.6,MDL_Train,MSE_Test_Interpolation,-0.024665257223396755
584_fri_c4_500_25,2,SVP,w0.6_0.0_0.6,PSM_Train,MSE_Test_Interpolation,-0.018463706835799856
584_fri_c4_500_25,2,SVP,w0.6_0.0_0.6,MSE_Train,MSE_Test_Extrapolation,0.9037350246652571
584_fri_c4_500_25,2,SVP,w0.6_0.0_0.6,AIC_Train,MSE_Test_Extrapolation,0.9124735729386891
