Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,MSE_Train,MSE_Test_Interpolation,0.9457292630280604
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,AIC_Train,MSE_Test_Interpolation,0.9502929386370643
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,BIC_Train,MSE_Test_Interpolation,0.923527597903176
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,MDL_Train,MSE_Test_Interpolation,0.20481036077705828
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,PSM_Train,MSE_Test_Interpolation,0.448781991982732
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,MSE_Train,MSE_Test_Extrapolation,0.8502621029910576
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,AIC_Train,MSE_Test_Extrapolation,0.8476719087264879
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,BIC_Train,MSE_Test_Extrapolation,0.8285538082022817
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,MDL_Train,MSE_Test_Extrapolation,0.35356151711378353
584_fri_c4_500_25,1,MVP,w0.6_0.3_0.4,PSM_Train,MSE_Test_Extrapolation,0.3705827937095282
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,MSE_Train,MSE_Test_Interpolation,0.9726568005637773
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,AIC_Train,MSE_Test_Interpolation,0.9778717406624383
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,BIC_Train,MSE_Test_Interpolation,0.9689922480620154
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,MDL_Train,MSE_Test_Interpolation,-0.025369978858350954
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,PSM_Train,MSE_Test_Interpolation,-0.022410147991543335
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,MSE_Train,MSE_Test_Extrapolation,0.9037350246652571
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,AIC_Train,MSE_Test_Extrapolation,0.9124735729386891
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,BIC_Train,MSE_Test_Extrapolation,0.9103594080338266
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,MDL_Train,MSE_Test_Extrapolation,-0.03157152924594785
584_fri_c4_500_25,2,MVP,w0.6_0.3_0.4,PSM_Train,MSE_Test_Extrapolation,-0.14319943622269204
