Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
1028_SWD,1,SVP,w0.8_1.0_0.3,MSE_Train,MSE_Test_Interpolation,0.6715997181113459
1028_SWD,1,SVP,w0.8_1.0_0.3,AIC_Train,MSE_Test_Interpolation,0.6046511627906976
1028_SWD,1,SVP,w0.8_1.0_0.3,BIC_Train,MSE_Test_Interpolation,0.17505285412262153
1028_SWD,1,SVP,w0.8_1.0_0.3,MDL_Train,MSE_Test_Interpolation,-0.5409443269908386
1028_SWD,1,SVP,w0.8_1.0_0.3,PSM_Train,MSE_Test_Interpolation,-0.16335447498238193
1028_SWD,1,SVP,w0.8_1.0_0.3,MSE_Train,MSE_Test_Extrapolation,0.2188865398167724
1028_SWD,1,SVP,w0.8_1.0_0.3,AIC_Train,MSE_Test_Extrapolation,0.25539112050739954
1028_SWD,1,SVP,w0.8_1.0_0.3,BIC_Train,MSE_Test_Extrapolation,0.7640591966173361
1028_SWD,1,SVP,w0.8_1.0_0.3,MDL_Train,MSE_Test_Extrapolation,0.15574348132487667
1028_SWD,1,SVP,w0.8_1.0_0.3,PSM_Train,MSE_Test_Extrapolation,-0.03551797040169133
1028_SWD,2,SVP,w0.8_1.0_0.3,MSE_Train,MSE_Test_Interpolation,0.532656023222061
1028_SWD,2,SVP,w0.8_1.0_0.3,AIC_Train,MSE_Test_Interpolation,0.6582429778878169
1028_SWD,2,SVP,w0.8_1.0_0.3,BIC_Train,MSE_Test_Interpolation,0.5920771792025954
1028_SWD,2,SVP,w0.8_1.0_0.3,MDL_Train,MSE_Test_Interpolation,-0.31546145308631435
1028_SWD,2,SVP,w0.8_1.0_0.3,PSM_Train,MSE_Test_Interpolation,0.2541620421753607
1028_SWD,2,SVP,w0.8_1.0_0.3,MSE_Train,MSE_Test_Extrapolation,0.8041492358917441
1028_SWD,2,SVP,w0.8_1.0_0.3,AIC_Train,MSE_Test_Extrapolation,0.7606078715956629
1028_SWD,2,SVP,w0.8_1.0_0.3,BIC_Train,MSE_Test_Extrapolation,0.5131904721249892
1028_SWD,2,SVP,w0.8_1.0_0.3,MDL_Train,MSE_Test_Extrapolation,-0.353368052591138
1028_SWD,2,SVP,w0.8_1.0_0.3,PSM_Train,MSE_Test_Extrapolation,0.5786732690173312
1028_SWD,3,SVP,w0.8_1.0_0.3,MSE_Train,MSE_Test_Interpolation,0.7492445266728337
