Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
1028_SWD,1,MVP,w0.2_0.4_1.0,MSE_Train,MSE_Test_Interpolation,-0.0613107822410148
1028_SWD,1,MVP,w0.2_0.4_1.0,AIC_Train,MSE_Test_Interpolation,-0.0938689217758985
1028_SWD,1,MVP,w0.2_0.4_1.0,BIC_Train,MSE_Test_Interpolation,-0.1722339675828048
1028_SWD,1,MVP,w0.2_0.4_1.0,MDL_Train,MSE_Test_Interpolation,-0.4451021846370683
1028_SWD,1,MVP,w0.2_0.4_1.0,PSM_Train,MSE_Test_Interpolation,-0.3906976744186046
1028_SWD,1,MVP,w0.2_0.4_1.0,MSE_Train,MSE_Test_Extrapolation,-0.005496828752642706
1028_SWD,1,MVP,w0.2_0.4_1.0,AIC_Train,MSE_Test_Extrapolation,0.07159971811134602
1028_SWD,1,MVP,w0.2_0.4_1.0,BIC_Train,MSE_Test_Extrapolation,0.17688513037350248
1028_SWD,1,MVP,w0.2_0.4_1.0,MDL_Train,MSE_Test_Extrapolation,0.10429880197322057
1028_SWD,1,MVP,w0.2_0.4_1.0,PSM_Train,MSE_Test_Extrapolation,-0.10599013389711062
1028_SWD,2,MVP,w0.2_0.4_1.0,MSE_Train,MSE_Test_Interpolation,0.5410227951848373
1028_SWD,2,MVP,w0.2_0.4_1.0,AIC_Train,MSE_Test_Interpolation,0.6635362417826346
1028_SWD,2,MVP,w0.2_0.4_1.0,BIC_Train,MSE_Test_Interpolation,0.6001024502689319
1028_SWD,2,MVP,w0.2_0.4_1.0,MDL_Train,MSE_Test_Interpolation,-0.3082045590369674
1028_SWD,2,MVP,w0.2_0.4_1.0,PSM_Train,MSE_Test_Interpolation,0.3317681208913173
1028_SWD,2,MVP,w0.2_0.4_1.0,MSE_Train,MSE_Test_Extrapolation,0.7953555878084179
1028_SWD,2,MVP,w0.2_0.4_1.0,AIC_Train,MSE_Test_Extrapolation,0.736958934517203
1028_SWD,2,MVP,w0.2_0.4_1.0,BIC_Train,MSE_Test_Extrapolation,0.4375480235635618
1028_SWD,2,MVP,w0.2_0.4_1.0,MDL_Train,MSE_Test_Extrapolation,-0.3714676001024503
1028_SWD,2,MVP,w0.2_0.4_1.0,PSM_Train,MSE_Test_Extrapolation,0.590796550840946
1028_SWD,3,MVP,w0.2_0.4_1.0,MSE_Train,MSE_Test_Interpolation,0.7473943879124267
1028_SWD,3,MVP,w0.2_0.4_1.0,AIC_Train,MSE_Test_Interpolation,0.754054887449892
1028_SWD,3,MVP,w0.2_0.4_1.0,BIC_Train,MSE_Test_Interpolation,0.08060437866173295
1028_SWD,3,MVP,w0.2_0.4_1.0,MDL_Train,MSE_Test_Interpolation,-0.6325624421831637
1028_SWD,3,MVP,w0.2_0.4_1.0,PSM_Train,MSE_Test_Interpolation,0.27190872648781994
1028_SWD,3,MVP,w0.2_0.4_1.0,MSE_Train,MSE_Test_Extrapolation,-0.13672525439407954
1028_SWD,3,MVP,w0.2_0.4_1.0,AIC_Train,MSE_Test_Extrapolation,-0.18026518655565835
1028_SWD,3,MVP,w0.2_0.4_1.0,BIC_Train,MSE_Test_Extrapolation,0.2635214307739747
1028_SWD,3,MVP,w0.2_0.4_1.0,MDL_Train,MSE_Test_Extrapolation,0.36577243293246997
1028_SWD,3,MVP,w0.2_0.4_1.0,PSM_Train,MSE_Test_Extrapolation,-0.14030218933086647
