Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
522_pm10,1,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Interpolation,0.8139097744360902
522_pm10,1,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Interpolation,0.788047705470573
522_pm10,1,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Interpolation,0.10448535130930776
522_pm10,1,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Interpolation,-0.8047705470572984
522_pm10,1,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Interpolation,-0.031501166709878146
522_pm10,1,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Extrapolation,-0.11952294529427016
522_pm10,1,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Extrapolation,-0.12237490277417684
522_pm10,1,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.6721545242416386
522_pm10,1,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.11543946072076744
522_pm10,1,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Extrapolation,-0.015945035001296345
522_pm10,2,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Interpolation,0.04267425320056899
522_pm10,2,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Interpolation,0.037221431958274064
522_pm10,2,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Interpolation,0.1896633475580844
522_pm10,2,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Interpolation,-0.0820293978188715
522_pm10,2,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Interpolation,-0.15860597439544807
522_pm10,2,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Extrapolation,-0.43338074917022273
522_pm10,2,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Extrapolation,-0.36605026078710284
522_pm10,2,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.46514935988620193
522_pm10,2,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.4601706970128022
522_pm10,2,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Extrapolation,-0.3745851114272166
522_pm10,3,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Interpolation,0.2366601212328182
522_pm10,3,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Interpolation,0.10014513788098693
522_pm10,3,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Interpolation,-0.18987449842055837
522_pm10,3,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Interpolation,-0.20541278920857164
522_pm10,3,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Interpolation,0.1400153675403398
522_pm10,3,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Extrapolation,-0.1641765559634594
522_pm10,3,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Extrapolation,-0.19047212498932808
522_pm10,3,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.146503884572697
522_pm10,3,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.20327840860582258
522_pm10,3,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Extrapolation,0.025697942457098947
522_pm10,4,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Interpolation,-0.23340080971659918
522_pm10,4,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Interpolation,-0.19230769230769235
522_pm10,4,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Interpolation,0.1437246963562753
522_pm10,4,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Interpolation,0.2595141700404858
522_pm10,4,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Interpolation,-0.2125506072874494
522_pm10,4,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Extrapolation,0.252834008097166
522_pm10,4,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Extrapolation,0.2374493927125506
522_pm10,4,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.3301619433198381
522_pm10,4,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Extrapolation,-0.26497975708502025
522_pm10,4,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Extrapolation,-0.03178137651821863
522_pm10,5,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Interpolation,0.000597626568769743
522_pm10,5,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Interpolation,0.17382395628788525
522_pm10,5,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Interpolation,0.23076923076923075
522_pm10,5,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Interpolation,0.14573550755570733
522_pm10,5,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Interpolation,-0.04738324938102963
522_pm10,5,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Extrapolation,-0.6305814052761888
522_pm10,5,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Extrapolation,-0.4549645692819943
522_pm10,5,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.7582173653205839
522_pm10,5,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.6757448988303594
522_pm10,5,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Extrapolation,-0.3468795355587808
522_pm10,6,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Interpolation,0.6731036077705829
522_pm10,6,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Interpolation,0.44229879740980577
522_pm10,6,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Interpolation,0.20420906567992603
522_pm10,6,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Interpolation,-0.6583024976873266
522_pm10,6,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Interpolation,-0.0012719703977798337
522_pm10,6,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Extrapolation,-0.5175912811853254
522_pm10,6,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Extrapolation,-0.3626954989807357
522_pm10,6,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Extrapolation,0.21034373111619903
522_pm10,6,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Extrapolation,0.5273626089914379
522_pm10,6,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Extrapolation,-0.06227053282356964
522_pm10,7,SVP,w0.7_0.0_0.9,MSE_Train,MSE_Test_Interpolation,0.08946608946608949
522_pm10,7,SVP,w0.7_0.0_0.9,AIC_Train,MSE_Test_Interpolation,0.08073593073593076
522_pm10,7,SVP,w0.7_0.0_0.9,BIC_Train,MSE_Test_Interpolation,0.09422799422799426
522_pm10,7,SVP,w0.7_0.0_0.9,MDL_Train,MSE_Test_Interpolation,0.030447330447330452
522_pm10,7,SVP,w0.7_0.0_0.9,PSM_Train,MSE_Test_Interpolation,0.009090909090909092
