Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
522_pm10,1,SVP,w0.7_0.6_0.8,MSE_Train,MSE_Test_Interpolation,0.8139097744360902
522_pm10,1,SVP,w0.7_0.6_0.8,AIC_Train,MSE_Test_Interpolation,0.788047705470573
522_pm10,1,SVP,w0.7_0.6_0.8,BIC_Train,MSE_Test_Interpolation,0.10448535130930776
522_pm10,1,SVP,w0.7_0.6_0.8,MDL_Train,MSE_Test_Interpolation,-0.8047705470572984
522_pm10,1,SVP,w0.7_0.6_0.8,PSM_Train,MSE_Test_Interpolation,-0.04258491055224267
522_pm10,1,SVP,w0.7_0.6_0.8,MSE_Train,MSE_Test_Extrapolation,-0.11952294529427016
522_pm10,1,SVP,w0.7_0.6_0.8,AIC_Train,MSE_Test_Extrapolation,-0.12237490277417684
522_pm10,1,SVP,w0.7_0.6_0.8,BIC_Train,MSE_Test_Extrapolation,0.6721545242416386
522_pm10,1,SVP,w0.7_0.6_0.8,MDL_Train,MSE_Test_Extrapolation,0.11543946072076744
522_pm10,1,SVP,w0.7_0.6_0.8,PSM_Train,MSE_Test_Extrapolation,-0.00823178636245787
522_pm10,2,SVP,w0.7_0.6_0.8,MSE_Train,MSE_Test_Interpolation,0.04528212422949265
522_pm10,2,SVP,w0.7_0.6_0.8,AIC_Train,MSE_Test_Interpolation,0.037221431958274064
522_pm10,2,SVP,w0.7_0.6_0.8,BIC_Train,MSE_Test_Interpolation,0.1896633475580844
522_pm10,2,SVP,w0.7_0.6_0.8,MDL_Train,MSE_Test_Interpolation,-0.0820293978188715
522_pm10,2,SVP,w0.7_0.6_0.8,PSM_Train,MSE_Test_Interpolation,-0.16121384542437175
522_pm10,2,SVP,w0.7_0.6_0.8,MSE_Train,MSE_Test_Extrapolation,-0.43717401612138446
522_pm10,2,SVP,w0.7_0.6_0.8,AIC_Train,MSE_Test_Extrapolation,-0.36605026078710284
522_pm10,2,SVP,w0.7_0.6_0.8,BIC_Train,MSE_Test_Extrapolation,0.46514935988620193
522_pm10,2,SVP,w0.7_0.6_0.8,MDL_Train,MSE_Test_Extrapolation,0.4601706970128022
522_pm10,2,SVP,w0.7_0.6_0.8,PSM_Train,MSE_Test_Extrapolation,-0.37505926979611187
522_pm10,3,SVP,w0.7_0.6_0.8,MSE_Train,MSE_Test_Interpolation,0.2366601212328182
522_pm10,3,SVP,w0.7_0.6_0.8,AIC_Train,MSE_Test_Interpolation,0.10014513788098693
522_pm10,3,SVP,w0.7_0.6_0.8,BIC_Train,MSE_Test_Interpolation,-0.19115512678220778
522_pm10,3,SVP,w0.7_0.6_0.8,MDL_Train,MSE_Test_Interpolation,-0.20541278920857164
522_pm10,3,SVP,w0.7_0.6_0.8,PSM_Train,MSE_Test_Interpolation,0.13344147528387262
522_pm10,3,SVP,w0.7_0.6_0.8,MSE_Train,MSE_Test_Extrapolation,-0.1641765559634594
522_pm10,3,SVP,w0.7_0.6_0.8,AIC_Train,MSE_Test_Extrapolation,-0.19047212498932808
522_pm10,3,SVP,w0.7_0.6_0.8,BIC_Train,MSE_Test_Extrapolation,0.14360112695295824
522_pm10,3,SVP,w0.7_0.6_0.8,MDL_Train,MSE_Test_Extrapolation,0.20327840860582258
522_pm10,3,SVP,w0.7_0.6_0.8,PSM_Train,MSE_Test_Extrapolation,0.03039357978314693
522_pm10,4,SVP,w0.7_0.6_0.8,MSE_Train,MSE_Test_Interpolation,-0.23340080971659918
