Run,Equation_Index,Complexity,Constant_Num,Total_Symbols,Distinct_Symbols,MSE_Train,MSE_Test_Interpolation,MSE_Test_Extrapolation,Sigma_Train,Log_likelihood_Train,AIC_Train,BIC_Train,MDL_Train,PSM_Train,Sensitivity_Interpolation_SVP,Sensitivity_Extrapolation_SVP,Sensitivity_Interpolation_MVP,Sensitivity_Extrapolation_MVP,Extrapolation_Divergence
1,0,1,1,1,1,9215715.536896063,11319751.17442705,10095201.958862085,3035.7360464264507,-3218.06787109375,6438.1357421875,6441.968,3220.7810811840905,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,1,3,3,9215163.32392195,11318172.960924465,10093523.972720545,3035.6403915606224,-3218.057861328125,6438.11572265625,6441.9478,3224.066910629799,2.9786967846836474e-05,0.0008973607038120428,0.001143171492965796,0.0008973607038120428,0.001143171492965796,1.0243030701303
1,2,5,2,8,7,9167869.744270725,11392820.351389335,10149544.615841167,3025.9962514764616,-3217.1806640625,6438.361328125,6446.025,3235.4620716939794,0.0025727036787175197,184.58376794516832,235.14613541988214,184.58376794516832,235.14613541988214,1.3853689346856217
1,3,6,2,10,7,9143349.571617914,11281125.24598892,10062984.806435926,3023.751253625346,-3216.7236328125,6437.447265625,6445.111,3238.8959659751413,0.0026783594604039536,75.41843626949667,63.01097510333126,75.41843626949667,63.01097510333126,1.3336422873720426
1,4,7,0,8,7,8274346.245120397,9973026.451437835,9002358.383636473,2846.114994119513,-3199.73486328125,6399.4697265625,6399.4697,3218.0312073834125,0.09986654268651383,74.16794282663804,2341.394978203843,299.54453617590906,4635.850313625222,0.9993511430638411
1,5,8,1,7,7,7961228.561765016,9361418.946952185,8384874.346557312,2815.027909482667,-3193.120849609375,6388.24169921875,6392.0737,3209.4589046550095,0.03857686492699169,734.6181898922696,3359.5885483355814,1565.8989418522422,6681.095877138673,0.9995492904174106
1,6,9,1,10,9,7789965.652248176,8807771.041749194,7777888.79387686,2790.628131919228,-3189.411376953125,6380.82275390625,6384.655,3214.097058661291,0.021746955185955666,308.37340189643317,9734.986668022066,1245.437909151206,19274.80899985017,0.999665977869745
1,7,13,0,16,8,6817965.136602066,8500682.593292652,7527392.108462618,2565.868061295402,-3166.793212890625,6333.58642578125,6333.5864,3202.8034877037107,0.033318850009064066,643.8256713500906,461.241711569379,1284.8853933122557,922.5162558623729,0.9920839313899668
1,8,14,2,16,10,1493516.738645743,1570413.9738873818,798376.6176492744,1221.2060849943675,-2907.796142578125,5819.59228515625,5827.256,2947.351804223601,1.5184270917171176,5850.950091296665,23290.991186110907,11837.655141694877,46250.16543835127,0.93303450932283
1,9,15,1,18,9,1194520.6886117375,1286041.366391173,531910.605666035,1086.7308395678824,-2869.71923828125,5741.4384765625,5745.2705,2911.991012934833,0.22338927669742675,1273.735122399901,27196.011630599878,2660.6497800823568,53922.1106238723,0.9668536684416938
1,10,17,3,21,11,1185640.2610326498,1265490.1060366281,531137.6875603413,1078.0253495752875,-2868.47021484375,5742.9404296875,5754.436,2921.5541656639275,0.0037306896221126155,1240.6551178909342,38608.36387035286,2836.5510607093956,76377.99838922308,0.9453263510664036
1,11,18,2,20,10,1158628.257543831,1174443.8981762622,408870.3096912913,1070.7766430744737,-2864.515869140625,5733.03173828125,5740.6953,2913.2886107358304,0.023046586442306755,21806.11131230969,26356.015217518045,43322.8005858345,52115.64932847228,1.1516895956321784
1,12,20,4,22,11,1156821.6686505615,1186388.3621834507,455513.2379045578,1067.3668550606944,-2864.260498046875,5736.52099609375,5751.8486,2919.738824443887,0.0007800212867023734,53901.282367277694,56719.97501017498,106988.88819771714,112757.94298890192,0.6433811119048516
1,13,21,3,28,13,1129366.2003212103,1190515.2223560752,438011.6996186795,1061.585254644443,-2860.145263671875,5726.29052734375,5737.786,2934.678651080459,0.024019822718009055,1218.8394411409038,23775.73715609275,2414.269943619613,47192.877676147764,0.9788014941794488
1,14,22,2,24,11,984603.9721287244,2160168.38991423,749940.7916529252,987.7695847762302,-2836.76416015625,5677.5283203125,5685.192,2897.033661819121,0.1371720087887196,12291.760490111374,25448.070685961466,36383.38423651716,75478.92641752341,0.9111176267464162
1,15,23,1,23,9,950924.0757450858,2061826.8050697863,674593.7089981132,967.6915093814326,-2830.843017578125,5663.68603515625,5667.518,2884.103869860005,0.03480648312471913,17096.95019131873,23838.7494271069,50183.52050156111,70407.89544083165,0.8964668562291874
1,16,24,3,27,12,754072.6104033205,1527515.1306020387,903688.5353568565,862.2062179083491,-2791.29345703125,5588.5869140625,5600.0825,2861.109798687505,0.23194424166208003,12892.37714665644,25542.748656268843,38211.71881957855,75501.58466937435,0.8592932698061205
1,17,25,2,24,10,733731.3214648616,1535978.7635506613,864974.4032874992,846.4982647913675,-2786.661865234375,5577.32373046875,5584.9873,2844.654773880955,0.02734860824998407,17808.86996398798,29381.211483286686,52396.48143110162,86414.78938508367,0.8942903266989701
1,18,26,3,30,13,732481.0907997047,2944707.832223531,617013.3495823831,846.8472817824556,-2786.361328125,5578.72265625,5590.2183,2866.038798905454,0.001701391361977236,18153.744732091636,33911.49964906828,53292.94850959398,98748.9171712401,0.9837602862036992
1,19,27,4,34,15,715809.2785865554,1502235.7669009212,727817.8478314383,830.6542089282277,-2782.513916015625,5573.02783203125,5588.3555,2877.328140804859,0.02302733872310613,17079.809942947366,28230.458219496537,50246.054009301995,83020.7371708712,0.8927300487753377
1,20,28,4,31,14,713779.6755812141,1493639.2230224537,666798.6655260347,827.040784358946,-2782.0703125,5572.140625,5587.4683,2866.6259334362403,0.0028391443557255966,16714.743820320153,27649.710316336772,49169.3643989459,81307.99953624228,0.8919122628218015
1,21,29,3,33,13,685608.3257938331,1491218.056400271,648928.8129229734,821.0588712982641,-2775.072021484375,5556.14404296875,5567.6396,2862.441160262686,0.040267815385156835,16771.34241248947,26511.767750636256,49344.38901447995,78043.43360987793,0.8807427115099237
1,22,31,3,35,13,673851.7019471166,1511952.781399461,698380.9278003391,813.5825976562105,-2772.1259765625,5550.251953125,5561.7476,2864.6257565383075,0.00864829510708546,16667.55290875756,26032.1527300207,49039.41054568571,76628.30653341216,0.8902824060123004
1,23,32,2,36,12,645829.960431022,1756091.6735302322,1087312.1807933932,797.1051146732798,-2764.879638671875,5533.75927734375,5541.423,2857.061676052997,0.04247124626402447,15415.065636353147,36490.18469449874,45112.85212082193,106876.39452936916,0.7385797227898845
1,24,37,2,41,12,625828.1413888995,1754911.2201055712,1058214.5903096201,783.6147270009157,-2759.523681640625,5523.04736328125,5530.711,2864.1322430890636,0.006292416951702811,16294.749975074355,33029.012089958305,47507.40126801307,87488.58135589454,0.7031736517748788
1,25,39,7,48,17,620255.0488635126,1331503.8502269047,553921.7881676402,784.2769256938974,-2757.9736328125,5529.947265625,5556.7705,2896.687340182784,0.004472688568808352,18053.073759251245,53376.43488860394,53213.34629595025,158994.0195630896,0.7980573426998886
1,26,41,3,45,13,618659.8244310658,1696081.7036917799,771271.7895419811,778.7909712704449,-2757.562255859375,5521.12451171875,5532.62,2875.7129818290423,0.0012869823431972587,15223.320303781886,22023.041448586522,44613.943469533,65140.129847109565,0.7911959604589005
1,27,42,4,48,14,596717.9792975951,1651222.0906794393,562318.8952362699,771.599901340798,-2751.3720703125,5510.744140625,5526.072,2880.761730309905,0.03611205025571256,18135.817239803826,41104.32986512377,52859.11378075106,121589.69964409633,0.7053152754586595
1,28,44,3,49,13,596596.4162674944,1696857.2182759556,985784.9243245072,767.8895596802806,-2751.3486328125,5508.697265625,5520.193,2879.7531127547845,0.0001013983013544396,16422.402688550446,38344.284271600765,47953.692692449455,104164.39609314638,0.7013916694841001
1,29,45,4,54,14,592681.0327941107,1649196.339588437,566707.8525277395,769.7700886648172,-2750.21435546875,5508.4287109375,5523.7563,2895.436830607072,0.006585605674918976,18415.95489806454,41687.35357082689,53681.93825941973,123325.94823553895,0.7076082799717142
1,30,47,5,51,14,570415.2399238771,1421641.5056731205,571976.6608548663,755.2084485031493,-2743.685302734375,5497.37060546875,5516.53,2880.990534557901,0.01914521595382608,19000.667755544255,21518.70291128221,55558.11927996318,63596.44114926544,0.7883673410938956
1,31,49,3,52,13,569479.0191878369,1447956.0459296505,561475.3403204523,754.525966466257,-2743.405517578125,5492.81103515625,5504.3066,2879.4963163698067,0.0008218661066805193,16558.088398058186,22178.699015056965,48730.362049995965,65611.52552052193,0.8574043251730681
1,32,50,3,53,13,563621.6107590043,1375648.033570657,586927.6715251384,750.620659365491,-2741.642578125,5489.28515625,5500.781,2880.298355735467,0.010337427534951395,18574.579597983404,21401.826427860033,54301.893176813064,63782.893285547616,0.7961808971364946
