Run,Equation_Index,Hybrid_MSE_Train,Hybrid_AIC_Train,Hybrid_BIC_Train,Hybrid_MDL_Train,Hybrid_PSM_Train,Extrapolation_Divergence,Sensitivity_Interpolation,Sensitivity_Extrapolation,Lambda1,Lambda2,Lambda3,Complexity,MSE_Test_Interpolation,MSE_Test_Extrapolation
1,0,1.0,0.6569735481524963,0.6549622960425902,0.15112994132297058,0.0,0.0,0.0,0.0,0.7,0.3,0.6,1,14.061850930098686,14.780191390625005
1,1,0.5862191364679717,0.5812953044639054,0.578671003327111,0.157048180970752,0.14716448559589695,0.04113508959756933,9.217545798124e-05,9.483608635362e-05,0.7,0.3,0.6,3,7.898982553953981,9.7677933474913
1,2,1.4869469955973924,2.3041086523476153,2.3041086523476153,1.557136411163789,1.732669518039072,1.0,0.01369550782538521,1.0,0.7,0.3,0.6,4,6.471265882615239,2.1589239291196177e+21
1,3,0.25811972179949216,0.30185086882694023,0.2963086159161943,0.2515875484835495,0.9517577967590128,0.34888922906041925,0.00134958483388042,0.00412261531310423,0.7,0.3,0.6,5,1.2697155061113918,17.103815407599775
1,4,1.310518532245783,1.3378477164356362,1.3380455290494018,1.3090513437625175,1.356213169625899,1.0,0.013695507825385232,1.0,0.7,0.3,0.6,6,1.899484365537367,2.1589239291700325e+21
1,5,1.6040191843555194,1.6153653805797559,1.6095922209817939,1.6,1.629805251420961,1.0,1.0,1.0,0.7,0.3,0.6,7,1.5565957687287657,0.7459879245740602
1,6,1.6039729830005025,1.6151006959001366,1.6093259687889763,1.6003721595491345,1.6005980480105602,1.0,1.0,1.0,0.7,0.3,0.6,8,1.588948300194319,0.7336460295386275
1,7,1.6039475144809812,1.620044816211129,1.6201623383214212,1.6065083328997156,1.6003296462102075,1.0,1.0,1.0,0.7,0.3,0.6,9,1.584524825069246,0.735023557978837
1,8,0.3264550151581113,0.3424040182340814,0.34252049302422594,0.3472116560626497,0.32267430397308255,0.34788901288065555,0.02303841205469265,0.12017508161566459,0.7,0.3,0.6,12,1.5846657069387706,0.7458614807413861
1,9,0.3118337164645187,0.3328707337568908,0.3388803471317036,0.3320170175965844,0.30791972961850667,0.3329169694108372,0.020243051065188162,0.11467199256712471,0.7,0.3,0.6,15,1.587859697534458,0.8832243163231733
1,10,0.3219792132023296,0.3430161296632701,0.3490257315430666,0.35945487895599393,0.31806356370716005,0.3414135722369525,0.020303164887380938,0.12163841970042352,0.7,0.3,0.6,19,1.5869020784205787,0.8789828798994721
1,13,0.2825921529520622,0.3188986691960174,0.34258761117814546,0.4024355729410888,0.2786764724332973,0.3415097884645131,0.01015781834829462,0.06095377334537574,0.7,0.3,0.6,35,1.5873799272227929,0.93091318116239
2,0,0.9584187915834251,0.6493066239981709,0.6472504283752291,0.14912440134636987,0.0,0.0,0.0,0.0,0.7,0.3,0.6,1,17.005309364167353,12.965368947062093
2,1,0.5513544570959651,0.5622728361146316,0.5596040545642572,0.14362199865714967,0.1356241225297608,0.02479068642297599,9.036738947553e-05,9.38453115645e-05,0.7,0.3,0.6,3,9.47668444600879,8.538677747940186
2,2,0.1032671563727003,0.2302923761346653,0.22545569883937738,0.0877509286899488,0.8933754516142526,0.0681440889963886,0.0049710963009909,0.010024283618174621,0.7,0.3,0.6,4,0.387789229011328,2.172699515862156
2,3,0.17636109801308758,0.2586720420047295,0.25343673645467735,0.16958790414202624,0.3038321984143123,0.2140274805760225,0.00132311204071659,0.00225684257543039,0.7,0.3,0.6,5,0.2538126195921658,15.470234111222002
2,4,0.07714659561306751,0.16335203327000267,0.1640000389728364,0.07400184216504795,0.05659339949546577,0.06719480398493018,0.0038376100862936397,0.00773859317778801,0.7,0.3,0.6,6,0.2647120919860585,1.9623321321072609
2,5,0.09179002022737637,0.183084839201148,0.18962600406074753,0.10943682257907823,0.06747469134125456,0.0917081544271159,0.00196254423707565,0.00448322743117047,0.7,0.3,0.6,11,0.2646527489347187,6.990257397182312
2,6,0.09267685856670059,0.183969898372129,0.19051103986020934,0.12310760900916166,0.06836383565046936,0.0929164318650346,0.00198022254386347,0.00454397205543316,0.7,0.3,0.6,14,0.2645499978082701,5.885910232110393
2,7,0.07713234278598868,0.17351450396421267,0.1859487321607233,0.11075571115621405,0.05282024236539616,0.06717032037466147,0.00384064719071682,0.0077438799644324995,0.7,0.3,0.6,15,0.2642102751814066,1.963914175072976
2,8,0.07712675643741093,0.17859859088849805,0.19692597389397704,0.12583746637437568,0.05281241857164408,0.0671604114982838,0.00384173121069155,0.0077457295960059805,0.7,0.3,0.6,19,0.2639942403132339,1.9644059301676504
2,9,0.07712675693422413,0.17859859137378284,0.19692597437926182,0.13576279139329153,0.052812251730299506,0.06716041240461149,0.0038417310995643396,0.0077457294029953105,0.7,0.3,0.6,24,0.2639946186002013,1.9644074981753112
2,10,0.0910349578279538,0.2790350729992593,0.3975455422516503,0.9119478669786133,0.0667204475688851,0.05600509840445973,0.00354392368982673,0.0440895023756599,0.7,0.3,0.6,156,0.2639941302533483,7.266837311987506
3,0,0.954516002124912,0.6485705085658269,0.64650998566037,0.1489318378210209,0.0,0.0,0.0,0.0,0.7,0.3,0.6,1,17.124237171080672,16.19172409871225
3,1,0.5460885451978352,0.5616192838681571,0.558937095143325,0.14466430746358494,0.1390314954222316,0.02714369303423273,9.262747510766001e-05,8.513469385328e-05,0.7,0.3,0.6,3,10.034240020860748,10.70651015045051
3,2,0.07966680955443434,0.29785121627150857,0.2936825565914227,0.07174270265251594,0.7323568905118839,0.0105895477332485,0.00452530365056424,0.00010185903407841999,0.7,0.3,0.6,4,1.0817484268997022,1.9611749032621115
3,3,0.13856660322886255,0.23347425954358125,0.2283350032918805,0.1324680000874454,0.34286654628677143,0.15559368563344483,0.00135620303217138,0.00111402680329395,0.7,0.3,0.6,5,0.9266263629316008,18.610768687914472
3,4,0.02426727959071452,0.09492956127410741,0.09545295482465223,0.025096280222544246,0.08634945932737705,0.00303716951879042,0.011772375652049,8.300119247387169e-06,0.7,0.3,0.6,6,0.6333369081342728,1.288307762206359
3,5,0.02426727958826724,0.10510935890527273,0.1174190039198568,0.04988032757193795,0.005662732716617189,0.00303716951879042,0.011772375652049,8.300119247387211e-06,0.7,0.3,0.6,10,0.6333369164612267,1.2883077778475402
3,6,0.030824335915554377,0.10657645775106075,0.1129929779031847,0.048622647240416934,0.012219928666089615,0.01490004902639796,0.005894300082601301,3.577069020087e-05,0.7,0.3,0.6,11,0.6334078773282438,2.4080323504407706
3,7,0.030637507553238224,0.10632248537964108,0.11273850215767357,0.054285942684297074,0.01215741087517118,0.014648414605821138,0.00593612106584722,3.504118983795e-05,0.7,0.3,0.6,13,0.6257701429711464,2.4641568754176384
3,8,0.027473247448739024,0.11332617919737137,0.13152833087917679,0.07082497490111675,0.00890454602947014,0.01016994963775303,0.00590618139969854,7.851520085020469e-06,0.7,0.3,0.6,17,0.6250224690008999,97312.68356770184
3,9,0.0280420643276667,0.11389414367462325,0.13209629516568525,0.09506281976217083,0.009465453716147388,0.01098785209031131,0.00589320266538966,8.605742240228321e-06,0.7,0.3,0.6,20,0.6248805559439742,265990.02193508146
3,10,0.027264489420124004,0.11820630788164513,0.14230156211469425,0.08850220136043407,0.008687687058745862,0.009887405640425919,0.005870814620634849,7.817937011294425e-06,0.7,0.3,0.6,21,0.6237890825146154,89962.97179705121
3,11,0.026507826826896744,0.11744951662936398,0.1415447726015321,0.1014055707672699,0.007930616647013401,0.00876619628976861,0.0059695128628549496,5.48652350744402e-06,0.7,0.3,0.6,23,0.6240507519334022,91118.53710257803
3,12,0.03069839567732309,0.12673005394302825,0.15671846037636766,0.11074036996296913,0.012121061047072485,0.01474262949237778,0.00593456826690575,3.4721472420300005e-05,0.7,0.3,0.6,24,0.6244483773591478,2.4015929027791025
3,13,0.030010079061067233,0.12604166933821012,0.1560300766411088,0.1391949925780593,0.01143274923969551,0.01377096704650467,0.00591073784414924,3.306463877403e-05,0.7,0.3,0.6,31,0.6242564406336273,2.3157987774756186
3,14,0.030612591816223736,0.1317340822702667,0.16761558970647406,0.15031547600290313,0.012035258285073257,0.01461743161588859,0.00594040036781467,3.4881573449930005e-05,0.7,0.3,0.6,35,0.6242057583774504,2.456185683236124
4,0,0.9713348975672607,0.651722182362463,0.6496801300271163,0.1497566167953413,0.0,0.0,0.0,0.0,0.7,0.3,0.6,1,16.010931742318892,15.921185729160998
4,1,0.560802861115223,0.5689305466598198,0.566269861944483,0.1492690444747134,0.14209704680405175,0.03232493985503887,9.217545798124e-05,0.00011773346832705,0.7,0.3,0.6,3,9.062169371664528,9.7682165853421
4,2,0.08303659857289852,0.19438659519501153,0.19524789140504437,0.089843730990145,0.9637359153504341,0.06238926048236552,0.00237517564322474,0.00516991884058021,0.7,0.3,0.6,4,1.1157423382280975,2.974445174419935
4,3,0.06339025311194671,0.12947995198525908,0.13582144586980893,0.0809778136516797,0.1269685930504537,0.06368208540034012,0.00203996003507586,0.0045554910597329305,0.7,0.3,0.6,6,0.8359675287830125,2.7152111957968863
4,4,0.1835337788917216,0.2479937653214417,0.2543227599921263,0.1964148054810237,0.17097919986835203,0.19099853527880145,0.02151661497057094,0.04735669167530655,0.7,0.3,0.6,8,0.8279273009339642,1.286177140743708
4,5,0.1835337789061505,0.25308366413702443,0.2653057589410177,0.2150113478490093,0.16856798341858403,0.19099853527880156,0.021516614970571,0.04735669167530655,0.7,0.3,0.6,10,0.8279273153711684,1.2861771127615005
4,6,0.18442189146475088,0.25396267553611734,0.2661846985930202,0.2189649385213969,0.169467792325615,0.1918929781792991,0.02160412432029886,0.04775424403323946,0.7,0.3,0.6,13,0.8258022590017692,1.292408838336097
4,7,0.18375590060217628,0.2583655506964309,0.276480558897181,0.22136377118771947,0.16886140631862967,0.19138122567993607,0.0215033442396629,0.04730239726779101,0.7,0.3,0.6,14,0.827665978360954,1.2834517966125687
4,8,0.18375589943590195,0.2634554495120135,0.28746355784607225,0.2389669580863247,0.16879934267728888,0.19138122567993607,0.0215033442396629,0.047302397267790966,0.7,0.3,0.6,16,0.8276713980595592,1.283441507387469
4,9,0.16820911459324464,0.2428188072535054,0.2609338278188312,0.256499830980335,0.15325252348543816,0.19373375704633436,0.0108259442601374,0.02398517353713624,0.7,0.3,0.6,27,0.8276792077155649,1.3554339696455904
5,0,0.9600352488132731,0.6496106851838246,0.64755628177392,0.1492039301076231,0.0,0.0,0.0,0.0,0.7,0.3,0.6,1,16.553824095497053,13.883579227076
5,1,0.5503191613333215,0.5629067092899451,0.5602331226816752,0.14486605224087984,0.13836243005579518,0.02685230972340107,9.127142372838001e-05,0.00012137524299084,0.7,0.3,0.6,3,9.53372856275459,8.785878009983275
5,2,0.11158034235613604,0.22296423102038668,0.2179797139164594,0.09901312125946501,0.9655314008739632,0.08752398213534004,0.00527111630531344,0.01707527619179427,0.7,0.3,0.6,4,0.9642237305663824,2.171974127425369
5,3,0.08283619327591313,0.14393488223480438,0.13853022109670085,0.07617268327174018,0.22718482512146732,0.09164169943038183,0.00133634843729851,0.00194935158723319,0.7,0.3,0.6,5,0.6969732782077791,15.802799249372196
5,5,0.08981859562384326,0.16103872234419866,0.16741984761838707,0.12352077497952334,0.07273752640086419,0.09080442146614304,0.00589105984839014,0.01231781601969233,0.7,0.3,0.6,13,0.7024354581093665,1.3252989796062964
5,6,0.08512668358774975,0.1563438471227151,0.16272495231287884,0.1326325021758221,0.06803313424313052,0.09064372637733904,0.00294580017006174,0.00615966828909697,0.7,0.3,0.6,16,0.7008182926316868,6.599675955789483
5,7,0.08544764615802568,0.16175459419181332,0.1740288012544046,0.13978348742740157,0.06835132606218285,0.09108975166785817,0.00294869023108198,0.0061728663944816,0.7,0.3,0.6,18,0.7015009051498681,1.3107453257659476
5,8,0.08541666772557094,0.156633596126476,0.16301470479487756,0.14316751490168156,0.06832056099679631,0.09104451140636428,0.00294881700357775,0.00617401011602685,0.7,0.3,0.6,19,0.701387694656558,1.6112764346467272
5,9,0.0854935377673287,0.1567104162915853,0.16309152582954636,0.15007441458331866,0.06839723599464535,0.09112846634323943,0.00295267124784578,0.00620229861887462,0.7,0.3,0.6,21,0.7012271712169494,1.6049445914065528
5,10,0.05680417909362819,0.1483806904735048,0.1783342641066982,0.20162862246259533,0.03970774830722218,0.05304563659161189,0.00083140170097137,0.0038773015804483705,0.7,0.3,0.6,40,0.701206835043016,5.725783855353221e+17
5,11,0.05678858180872345,0.14836509005740417,0.17831866369059757,0.20915738679093526,0.03969216424869064,0.05301197005215376,0.00083219959793429,0.0038901795678337402,0.7,0.3,0.6,42,0.7012215571230345,5.72527524043324e+17
