complexity,loss,equation,score,sympy_format,lambda_format,run,equation_index,equation_string
1,11.348867,10.186437,0.0,10.1864370000000,PySRFunction(X=>10.1864370000000),28,0,10.1864370000000
3,8.98778,10.161741 - x2,0.11662601910658857,10.161741 - x2,PySRFunction(X=>10.161741 - x2),28,1,10.161741 - x2
4,8.413779,11.666779 - exp(x2),0.06599515786714756,11.666779 - exp(x2),PySRFunction(X=>11.666779 - exp(x2)),28,2,11.666779 - exp(x2)
5,8.024555,(10.013427 - x2) - x0,0.04736450331063401,-x0 - x2 + 10.013427,PySRFunction(X=>-x0 - x2 + 10.013427),28,3,-x0 - x2 + 10.013427
7,7.9847245,(10.013427 - (x0 * 1.2332169)) - x2,0.0024879684425143404,-1.2332169*x0 - x2 + 10.013427,PySRFunction(X=>-1.2332169*x0 - x2 + 10.013427),28,4,-1.2332169*x0 - x2 + 10.013427
9,7.9357705,((12.301703 - cos(x2)) - exp(x2)) - x0,0.0030749140832724417,-x0 - exp(x2) - cos(x2) + 12.301703,PySRFunction(X=>-x0 - exp(x2) - cos(x2) + 12.301703),28,5,-x0 - exp(x2) - cos(x2) + 12.301703
10,7.315978,((10.109334 - x2) - x0) - sin(x2 / x0),0.08131972729721837,-x0 - x2 - sin(x2/x0) + 10.109334,PySRFunction(X=>-x0 - x2 - sin(x2/x0) + 10.109334),28,6,-x0 - x2 - sin(x2/x0) + 10.109334
13,7.1610756,((11.59038 - x0) - exp(cos((x2 / x0) + -1.203169))) - x2,0.007133510087520683,-x0 - x2 - exp(cos(-1.203169 + x2/x0)) + 11.59038,PySRFunction(X=>-x0 - x2 - exp(cos(-1.203169 + x2/x0)) + 11.59038),28,7,-x0 - x2 - exp(cos(-1.203169 + x2/x0)) + 11.59038
15,7.1291246,(((11.59038 - x0) - exp(cos((x2 / x0) + -1.2410753))) - x2) + 0.21006551,0.0022358716319661985,-x0 - x2 - exp(cos(-1.2410753 + x2/x0)) + 0.21006551 + 11.59038,PySRFunction(X=>-x0 - x2 - exp(cos(-1.2410753 + x2/x0)) + 0.21006551 + 11.59038),28,8,-x0 - x2 - exp(cos(-1.2410753 + x2/x0)) + 0.21006551 + 11.59038
20,7.079982,((11.59038 - x0) - exp(cos((0.8746559 + ((x2 / x0) + -2.3900104)) + (x2 / cos(x2))))) - x2,0.0013834169120758326,-x0 - x2 - exp(cos(x2/cos(x2) - 2.3900104 + 0.8746559 + x2/x0)) + 11.59038,PySRFunction(X=>-x0 - x2 - exp(cos(x2/cos(x2) - 2.3900104 + 0.8746559 + x2/x0)) + 11.59038),28,9,-x0 - x2 - exp(cos(x2/cos(x2) - 2.3900104 + 0.8746559 + x2/x0)) + 11.59038
22,6.878083,((11.59038 - x0) - exp(cos(0.8568613 + ((((-2.109807 / cos(x1)) + (x1 - 0.15096319)) + x2) / x0)))) - x2,0.014465692965390334,-x0 - x2 - exp(cos(0.8568613 + (x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) + 11.59038,PySRFunction(X=>-x0 - x2 - exp(cos(0.8568613 + (x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) + 11.59038),28,10,-x0 - x2 - exp(cos(0.8568613 + (x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) + 11.59038
23,6.7136765,(((10.591333 - x0) - (cos(x1 * (-2.109807 / square(x0))) - cos(square(x0 - (x0 / -0.17017914))))) - x2) - 0.5186279,0.024193264903124727,-x0 - x2 - (cos(x1*(-2.109807)/x0**2) - cos((x0 - x0/(-0.17017914))**2)) - 1*0.5186279 + 10.591333,PySRFunction(X=>-x0 - x2 - (cos(x1*(-2.109807)/x0**2) - cos((x0 - x0/(-0.17017914))**2)) - 1*0.5186279 + 10.591333),28,11,-x0 - x2 - (cos(x1*(-2.109807)/x0**2) - cos((x0 - x0/(-0.17017914))**2)) - 1*0.5186279 + 10.591333
24,6.657425,(((10.591333 - sin(x0)) - (cos((-2.109807 / square(x0)) * x1) - cos(square((x0 / -0.17017914) - x0)))) - x2) - 0.49470964,0.008413941343164592,-x2 - (cos(-2.109807*x1/(x0**2)) - cos((x0/(-0.17017914) - x0)**2)) - sin(x0) - 1*0.49470964 + 10.591333,PySRFunction(X=>-x2 - (cos(-2.109807*x1/(x0**2)) - cos((x0/(-0.17017914) - x0)**2)) - sin(x0) - 1*0.49470964 + 10.591333),28,12,-x2 - (cos(-2.109807*x1/(x0**2)) - cos((x0/(-0.17017914) - x0)**2)) - sin(x0) - 1*0.49470964 + 10.591333
28,6.594658,(((10.591333 - sin(x0)) - (cos((x1 * -2.109807) / square(x0)) - cos((square(x0) / -0.17017914) - exp(x0)))) - x2) - (sqrt(0.18773659) + 0.43003815),0.002368211448897761,-x2 - sin(x0) - cos(2.109807*x1/x0**2) + cos(5.87616085026637*x0**2 + exp(x0)) + 9.72800904363196,PySRFunction(X=>-x2 - sin(x0) - cos(2.109807*x1/x0**2) + cos(5.87616085026637*x0**2 + exp(x0)) + 9.72800904363196),28,13,-x2 - sin(x0) - cos(2.109807*x1/x0**2) + cos(5.87616085026637*x0**2 + exp(x0)) + 9.72800904363196
34,6.2770925,((((10.591333 - x0) - cos(x1 * (-2.109807 / square(x0)))) - exp(cos(((x0 + ((-2.109807 / cos(x1)) + x2)) + (x1 - 0.15096319)) / x1))) - -1.2390015) - (x2 + 0.43003815),0.008225505298503815,-x0 - (x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x1*(-2.109807)/x0**2) - 1*(-1.2390015) + 10.591333,PySRFunction(X=>-x0 - (x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x1*(-2.109807)/x0**2) - 1*(-1.2390015) + 10.591333),28,14,-x0 - (x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x1*(-2.109807)/x0**2) - 1*(-1.2390015) + 10.591333
38,6.2503047,((((10.591333 - x0) - cos(x1 * ((-2.109807 / square(x0)) - (x1 * 0.08244549)))) - exp(cos(((x1 - 0.15096319) + ((x0 + (-2.109807 / cos(x1))) + x2)) / x1))) - -1.2390015) - (x2 + 0.43003815),0.0010691702514653357,-x0 - (x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x1*(-0.08244549*x1 - 2.109807/x0**2)) - 1*(-1.2390015) + 10.591333,PySRFunction(X=>-x0 - (x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x1*(-0.08244549*x1 - 2.109807/x0**2)) - 1*(-1.2390015) + 10.591333),28,15,-x0 - (x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x1*(-0.08244549*x1 - 2.109807/x0**2)) - 1*(-1.2390015) + 10.591333
39,6.178281,((((10.591333 - sin(x0)) - cos(x1 * ((-2.109807 / square(x0)) - (x1 * 0.08244549)))) - exp(cos(((x1 - 0.15096319) + ((-2.109807 / cos(x1)) + (x0 + x2))) / x1))) - -1.2390015) - (x2 + 0.43003815),0.011590137122548092,-(x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - sin(x0) - cos(x1*(-0.08244549*x1 - 2.109807/x0**2)) - 1*(-1.2390015) + 10.591333,PySRFunction(X=>-(x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - sin(x0) - cos(x1*(-0.08244549*x1 - 2.109807/x0**2)) - 1*(-1.2390015) + 10.591333),28,16,-(x2 + 0.43003815) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - sin(x0) - cos(x1*(-0.08244549*x1 - 2.109807/x0**2)) - 1*(-1.2390015) + 10.591333
43,6.1415796,((((((11.079416 - x0) - exp(cos(((((-2.109807 / cos(x1)) + x1) + (x2 + x0)) - 0.15096319) / x0))) - -1.2390015) - x2) - 0.5968728) - exp(cos(((x0 + ((-2.109807 / cos(x1)) + x2)) + x1) / x1))) - -0.95782614,0.00148952613034768,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 2.109807/cos(x1))/x1)) - 1*0.5968728 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416,PySRFunction(X=>-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 2.109807/cos(x1))/x1)) - 1*0.5968728 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416),28,17,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 2.109807/cos(x1))/x1)) - 1*0.5968728 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416
44,6.0405173,((((((11.079416 - x0) - exp(cos((((x1 + (-2.109807 / cos(x1))) + x2) + (x0 - 0.15096319)) / x0))) - -1.2390015) - x2) - cos(x0)) - exp(cos((x0 + ((-2.109807 / cos(x1)) + (x2 + x1))) / x1))) - -0.95782614,0.016592318941326505,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 2.109807/cos(x1))/x1)) - cos(x0) - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416,PySRFunction(X=>-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 2.109807/cos(x1))/x1)) - cos(x0) - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416),28,18,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 2.109807/cos(x1))/x1)) - cos(x0) - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416
45,5.955256,((((((11.079416 - x0) - exp(cos((((-2.109807 / cos(x1)) + x1) + (x2 + (x0 - 0.15096319))) / x0))) - -1.2390015) - x2) - 0.6528386) - exp(cos((x0 + (((-2.109807 / cos(x1)) + (x2 + x1)) - 0.15096319)) / x1))) - -0.95782614,0.014215463006642792,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - 1*0.6528386 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416,PySRFunction(X=>-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - 1*0.6528386 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416),28,19,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - 1*0.6528386 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416
46,5.880997,((((((11.079416 - sin(x0)) - exp(cos((0.15096319 - (x0 + ((-2.109807 / cos(x1)) + (x1 + x2)))) / x0))) - -1.2390015) - x2) - 0.5968728) - exp(cos(((x0 + ((-2.109807 / cos(x1)) + x2)) + (x1 - 0.15096319)) / x1))) - -0.95782614,0.012547885607700118,-x2 - exp(cos((0.15096319 - (x0 + x1 + x2 - 2.109807/cos(x1)))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - sin(x0) - 1*0.5968728 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416,PySRFunction(X=>-x2 - exp(cos((0.15096319 - (x0 + x1 + x2 - 2.109807/cos(x1)))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - sin(x0) - 1*0.5968728 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416),28,20,-x2 - exp(cos((0.15096319 - (x0 + x1 + x2 - 2.109807/cos(x1)))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - sin(x0) - 1*0.5968728 - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416
47,5.8556833,((((((11.079416 - x0) - exp(cos((x1 + ((((-2.109807 / cos(x1)) + x2) + sin(x0)) - 0.15096319)) / x0))) - -1.2390015) - x2) - cos(x0)) - exp(cos(((x0 + ((-2.109807 / cos(x1)) + x2)) + (x1 - 0.15096319)) / x1))) - -0.95782614,0.004313611447949787,-x0 - x2 - exp(cos((x1 + x2 + sin(x0) - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x0) - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416,PySRFunction(X=>-x0 - x2 - exp(cos((x1 + x2 + sin(x0) - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x0) - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416),28,21,-x0 - x2 - exp(cos((x1 + x2 + sin(x0) - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x1)) - cos(x0) - 1*(-0.95782614) - 1*(-1.2390015) + 11.079416
48,5.826142,((((((11.079416 - x0) - exp(cos(((-2.109807 / cos(x1)) + (((x2 - 0.15096319) + x0) + x1)) / x0))) - -1.2390015) - x2) - cos(x0)) - exp(cos((((-2.109807 / cos(x1 / 0.9996466)) + x0) + (x2 + (x1 - 0.15096319))) / x1))) - -0.8327962,0.005057662174086105,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1/0.9996466))/x1)) - cos(x0) - 1*(-0.8327962) - 1*(-1.2390015) + 11.079416,PySRFunction(X=>-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1/0.9996466))/x1)) - cos(x0) - 1*(-0.8327962) - 1*(-1.2390015) + 11.079416),28,22,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1/0.9996466))/x1)) - cos(x0) - 1*(-0.8327962) - 1*(-1.2390015) + 11.079416
51,5.7810736,((((((11.079416 - x0) - exp(cos(((-2.109807 / cos(x1)) + (((x2 - 0.15096319) + x0) + x1)) / x0))) - -1.2390015) - x2) - cos(-10.987613 - cos(x0))) - exp(cos((((-2.109807 / cos(x1 / 0.9996466)) + x0) + (x2 + (x1 - 0.15096319))) / x1))) - -0.8327962,0.0025885407858912747,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1/0.9996466))/x1)) - cos(-cos(x0) - 10.987613) - 1*(-0.8327962) - 1*(-1.2390015) + 11.079416,PySRFunction(X=>-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1/0.9996466))/x1)) - cos(-cos(x0) - 10.987613) - 1*(-0.8327962) - 1*(-1.2390015) + 11.079416),28,23,-x0 - x2 - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1))/x0)) - exp(cos((x0 + x1 + x2 - 1*0.15096319 - 2.109807/cos(x1/0.9996466))/x1)) - cos(-cos(x0) - 10.987613) - 1*(-0.8327962) - 1*(-1.2390015) + 11.079416
