Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
229_pwLinear,1,SVP,w0.2_0.8_1.0,MSE_Train,MSE_Test_Interpolation,0.5469852736871355
229_pwLinear,1,SVP,w0.2_0.8_1.0,AIC_Train,MSE_Test_Interpolation,0.5537649347040846
229_pwLinear,1,SVP,w0.2_0.8_1.0,BIC_Train,MSE_Test_Interpolation,0.7809391497638235
229_pwLinear,1,SVP,w0.2_0.8_1.0,MDL_Train,MSE_Test_Interpolation,-0.47618782995276476
229_pwLinear,1,SVP,w0.2_0.8_1.0,PSM_Train,MSE_Test_Interpolation,0.34326201722700755
229_pwLinear,1,SVP,w0.2_0.8_1.0,MSE_Train,MSE_Test_Extrapolation,0.5279799944429009
229_pwLinear,1,SVP,w0.2_0.8_1.0,AIC_Train,MSE_Test_Extrapolation,0.5702139483189776
229_pwLinear,1,SVP,w0.2_0.8_1.0,BIC_Train,MSE_Test_Extrapolation,0.8235621005834955
229_pwLinear,1,SVP,w0.2_0.8_1.0,MDL_Train,MSE_Test_Extrapolation,-0.49702695193109203
229_pwLinear,1,SVP,w0.2_0.8_1.0,PSM_Train,MSE_Test_Extrapolation,0.26612948041122536
229_pwLinear,2,SVP,w0.2_0.8_1.0,MSE_Train,MSE_Test_Interpolation,0.4393728222996517
229_pwLinear,2,SVP,w0.2_0.8_1.0,AIC_Train,MSE_Test_Interpolation,0.4440766550522649
229_pwLinear,2,SVP,w0.2_0.8_1.0,BIC_Train,MSE_Test_Interpolation,0.6451219512195123
229_pwLinear,2,SVP,w0.2_0.8_1.0,MDL_Train,MSE_Test_Interpolation,0.08379790940766552
229_pwLinear,2,SVP,w0.2_0.8_1.0,PSM_Train,MSE_Test_Interpolation,0.5000000000000001
229_pwLinear,2,SVP,w0.2_0.8_1.0,MSE_Train,MSE_Test_Extrapolation,0.23850174216027878
229_pwLinear,2,SVP,w0.2_0.8_1.0,AIC_Train,MSE_Test_Extrapolation,0.23275261324041815
