Dataset,Run,Method,Weight,Metric,Test_Metric,Spearman
529_pollen,1,SVP,w0.4_0.7_0.9,MSE_Train,MSE_Test_Interpolation,0.8196310935441371
529_pollen,1,SVP,w0.4_0.7_0.9,AIC_Train,MSE_Test_Interpolation,0.550197628458498
529_pollen,1,SVP,w0.4_0.7_0.9,BIC_Train,MSE_Test_Interpolation,0.1820816864295125
529_pollen,1,SVP,w0.4_0.7_0.9,MDL_Train,MSE_Test_Interpolation,-0.04598155467720685
529_pollen,1,SVP,w0.4_0.7_0.9,PSM_Train,MSE_Test_Interpolation,0.4997364953886692
529_pollen,1,SVP,w0.4_0.7_0.9,MSE_Train,MSE_Test_Extrapolation,0.4654808959156784
529_pollen,1,SVP,w0.4_0.7_0.9,AIC_Train,MSE_Test_Extrapolation,0.35151515151515145
529_pollen,1,SVP,w0.4_0.7_0.9,BIC_Train,MSE_Test_Extrapolation,0.47180500658761526
529_pollen,1,SVP,w0.4_0.7_0.9,MDL_Train,MSE_Test_Extrapolation,0.3176548089591567
529_pollen,1,SVP,w0.4_0.7_0.9,PSM_Train,MSE_Test_Extrapolation,0.3509881422924901
529_pollen,2,SVP,w0.4_0.7_0.9,MSE_Train,MSE_Test_Interpolation,0.13101604278074866
529_pollen,2,SVP,w0.4_0.7_0.9,AIC_Train,MSE_Test_Interpolation,0.3556149732620321
529_pollen,2,SVP,w0.4_0.7_0.9,BIC_Train,MSE_Test_Interpolation,0.8218582887700535
529_pollen,2,SVP,w0.4_0.7_0.9,MDL_Train,MSE_Test_Interpolation,0.6768048128342247
529_pollen,2,SVP,w0.4_0.7_0.9,PSM_Train,MSE_Test_Interpolation,0.18883689839572196
529_pollen,2,SVP,w0.4_0.7_0.9,MSE_Train,MSE_Test_Extrapolation,0.11697860962566847
529_pollen,2,SVP,w0.4_0.7_0.9,AIC_Train,MSE_Test_Extrapolation,0.22058823529411767
529_pollen,2,SVP,w0.4_0.7_0.9,BIC_Train,MSE_Test_Extrapolation,0.6901737967914439
529_pollen,2,SVP,w0.4_0.7_0.9,MDL_Train,MSE_Test_Extrapolation,0.5618315508021391
529_pollen,2,SVP,w0.4_0.7_0.9,PSM_Train,MSE_Test_Extrapolation,0.0250668449197861
529_pollen,3,SVP,w0.4_0.7_0.9,MSE_Train,MSE_Test_Interpolation,0.1391654812707444
529_pollen,3,SVP,w0.4_0.7_0.9,AIC_Train,MSE_Test_Interpolation,0.1870554765291607
529_pollen,3,SVP,w0.4_0.7_0.9,BIC_Train,MSE_Test_Interpolation,0.8172119487908962
529_pollen,3,SVP,w0.4_0.7_0.9,MDL_Train,MSE_Test_Interpolation,0.5445708866761497
529_pollen,3,SVP,w0.4_0.7_0.9,PSM_Train,MSE_Test_Interpolation,0.18278805120910382
